Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2017?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Southbridge,Erik Jacobson,7184,6587,6587,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,12,34,Both,Both,Neither,Neither,,Yes,,,,0,,,,,,,,,,Yes,Yes,,,Yes,,Yes,17,,,,,,,,4301.35,No,378.49,No,,,1353.86,,,,,,,,,,,,517.8,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,0,,0,0,0,Yes,4,Yes,No,,,
Southwick,Randy Brown,3491,2049,2068,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,Yes,Yes,,100,10,22,,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,,,,2310,No,55,Yes,,73,,,,253,162,23,168,2,,9,,,100,40,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,No,,,,"Southwick partners with NEDT in Westfield, MA for a year-long household hazardous waste collection.  The Town pays for the first $20 per household per year.  This facility is open 3 days per week.",,
Spencer,Steven J. Tyler,3768,1853,1853,Drop-off,,,Drop-off,,Yes,,,None,,38,Both,Neither,Both,Neither,,,Yes,,Yes,,50,,Yes,,,,,,,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,Yes,,1259,Yes,0,,,67.14,410.77,,,,,0,80.46,105,,,,,,5.14,41.27,0,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,No,,,,Co-hosted HHW day w/ North Brookfield at their facility. We provide labor and fees.,,
Springfield,Cristina Ferrera,61000,40000,40000,Curbside,Yes,95,Both,Bi-weekly,Yes,Yes,95,None,40,52,Both,Neither,Neither,Neither,Yes,Yes,,,,90,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,40,Yes,Yes,Yes,Yes,,,,40417.9,No,805.95,Yes,,70.15,6857.89,,,,,,,,,,,,8090.75,13.67,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,0,0,0,,Yes,6,No,No,,,
Sterling,William P. Tuttle,2961,2961,2961,Curbside,,,Curbside,Weekly,,,,None,,36,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,30,Yes,,No,Yes,Yes,,,Yes,,No,,,,,,Yes,,Yes,2259,No,0,,,,,,13.2,419.2,289.2,6.07,57.26,1.08,,9.68,,,,22.29,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,0,,Yes,6,Yes,No,,,
STOCKBRIDGE,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoneham,Robert Grover,9500,6700,6700,Curbside,,,Curbside,Weekly,Yes,,,None,8,40,Both,Both,Neither,Neither,Yes,Yes,,,,145,,,,Yes,3,30,,,,Yes,Yes,Yes,,,,,,,,,,,,,5729.33,Yes,0,Yes,,64.85,1972.48,,,,,,,7.37,,,,,329.4,29.07,,1 or 2,1 or 2,Year Round,Year Round,Once a Week,Year Round,1 or 2,0,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,,Yes,1,No,Yes,"Recycling Coordinator position has not been funded since September 4, 2015.
Town's new hauler does not report bulky rigid plastic or metal collection separate anymore. Town still collects material.",,
STOUGHTON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOW,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturbridge,Bri Eichstadt (as of 2.12.18),3751,1882,1882,Drop-off,,,Drop-off,,,,,None,,40,Both,Neither,Both,Neither,Yes,Yes,,,Yes,20,,,Yes,,,,,,,Yes,Yes,,,,,,,Yes,,Yes,,Yes,Yes,,312,Yes,0,Yes,,,,0.84,45,87,208,4.2,145,60,12,3.96,,,243,57.28,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,,Year Round,,,Yes,9,No,No,,,
Sudbury,Daniel F. Nason,5468,964,1781,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,,Yes,170,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,512.7,Yes,0,Yes,,,,,75.09,233.79,142.76,37.16,121.66,3.06,,1.87,,,1.19,5.62,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,,Year Round,,0,Yes,1,No,No,,,
Sunderland,Jan Ameen,888,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,0,No,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Sutton,Matt Stencel,3300,1150,1200,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,,,Yes,,Yes,,40,,Yes,,,,,,,,,,,,,,,,,,,,,,555.19,Yes,0,Yes,,67.14,,,120,117,64,2.6,41.43,2.67,,,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,,,No,,,,NEDT is in Sutton and open for hazardous waste dropoff,,
Swampscott,Jeff Vaughan,5700,4962,4962,Curbside,,,Curbside,Weekly,Yes,,,Curbside,9,32,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,2,35,Yes,Yes,No,,,,,,,,,,,,,,,,3790.97,Yes,0,No,,64,1509,,36.1,,,,23.36,,,,,,600,,,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,,0,0,0,No,,,,"alkaline batteries are not included with rechargeable battery recycling.
cardboard totals include paper from town hall and schools also.",,
Swansea,Colleen Brown,6290,6015,6015,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,35,,Both,Neither,Neither,Neither,,Yes,,,Yes,100,,,Yes,,,,,,,,,,,,,,,,,,,,,,2932,No,0,Yes,,,,,,,1980,,,,,,,,,,,0,0,Once a Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Taunton,Katherine Nunes,21792,18878,21178,Both,,,Both,Bi-weekly,Yes,Yes,95,None,5,52,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,Yes,6,,,,,,,Yes,12383.69,Yes,0,No,52,,4326.96,13.06,113.54,,,,192.02,29.5,,,,,1590,104.52,,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,0,0,0,0,Yes,1,No,No,,,
TEMPLETON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tewksbury,Steve Sadwick,10056,10056,10056,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,14,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,10078,No,52.79,No,,70,2926,,,,,,,,,,,,,,,0,Year Round,0,0,0,Year Round,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,No,,,,,,
Tisbury,Beth Tessmer,4107,4107,4107,Both,,,Both,Bi-weekly,Yes,Yes,96,None,,52,Both,Both,Neither,Neither,,,,Yes,Yes,,,35,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,,Yes,,1148.53,Yes,,Yes,,146.5,1189.67,10.08,33.27,,,15.2,,,,,,,,,,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,0,0,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,No,,,,,,
Tolland,Valerie Bird,493,493,493,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Both,Neither,,,Yes,,Yes,,65,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,108.49,No,0,,,90,19.12,,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,,Year Round,,,No,,,,,,
Topsfield,Donna Rich,2212,2212,2212,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,33,Both,Both,Neither,Neither,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,1946.46,Yes,0,Yes,,,,430.14,,,353.54,,,13.83,,,,9.5,,,,Between 3 & 10,0,Once a Week,Once a Week,Once a Week,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Once a Week,Once a Week,Between 3 & 10,Between 3 & 10,Once a Week,Once a Week,Once a Week,0,Year Round,Year Round,,Year Round,0,0,Yes,1,Yes,No,,,
Townsend,Carla Hitzenbuhler,3450,2946,3400,Curbside,,,Curbside,Weekly,Yes,,,None,,26,Neither,Neither,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,Yes,,Yes,2257,No,46,Yes,,,842,,,,,7.4,6.94,6.75,6.33,,,,,8.09,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Once a Month,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,,
Truro,Jarrod J. Cabral,3334,3334,3334,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,80,Yes,Yes,,Yes,Yes,,,1907,No,38.13,Yes,,68.3,277.99,,,,,,168,,,,,,67.5,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,,Year Round,,,Yes,1,Yes,Yes,"E waste is measured by a set dollar amount, we pay 1,175.00 per 25 yard container.  We were billed for 4 containers totaling 4,700

Clothing is regularly deposited at the Swap shop, we have no formal measurement for the amount received.

We removed 1,250 ",,
Tyngsborough,Kerri Oun,4275,3462,3462,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,4,4,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,,Yes,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,,,Yes,3812,No,0,Yes,,70,1185.19,,,,,,,,,,,,,,,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,Year Round,0,0,0,0,,Yes,1,No,Yes,Municipal trash and recycling are not available for all condos due to the agreement the builder has with the Town.,,
Tyringham,April Curtin,330,195,195,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Neither,,,Yes,,,,85,,,,,,,,,Yes,Yes,,Yes,Yes,,No,,,,,,,,,121.14,No,0,Yes,,,22.02,,,,22.01,,,,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,,Year Round,,0,No,,,,,,
Upton,Diane Tiernan,2600,2301,2306,Curbside,Yes,96,Curbside,Weekly,Yes,,,None,10,,Both,Recycling,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,1352.51,No,0,Yes,,67.14,736.43,,,,,,,,,,,,,,,1 or 2,1 or 2,Once a Week,Once a Week,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,,0,Yes,1,No,No,,,
Uxbridge,Kristin Black,7000,0,0,None,,,None,,,,,None,,32,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,0,Yes,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,0,0,0,0,No,,,,,,
WAKEFIELD,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALES,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walpole,Robin Chapell,8420,7654,7654,Curbside,,,Both,Bi-weekly,,,,None,4,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,6,32,,Yes,,Yes,Yes,,,,,,,,,,,,,Yes,7931.57,Yes,0,No,,67.14,,,,964.07,638.47,,,37.04,,,,,2000,5.98,,Between 3 & 10,0,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,Yes,,,
Waltham,Sarah Kelley,23000,19170,19170,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,24,6,Both,Both,Both,Trash,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19486.3,Yes,,No,,,3800.67,,,,,,2438,,,,,,26.05,98.8,,Between 3 & 10,0,0,0,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,No,,,,,,
Ware,Stuart Beckley,4500,0,0,None,,,None,,,,,None,,4,Both,Both,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,0,,,,0,0,0,0,0,,,,,,,,5.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 or 2,1 or 2,0,0,0,0,No,,,,,,
Wareham,Marilyn Russell,12100,0,0,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Neither,Neither,,Yes,,,,30,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,0,No,0,,,,,,35,24.1,31,,1,,,,,,,1,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,,,Yes,1,No,No,,,
Warren,rachael,1557,640,640,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Both,Yes,,Yes,,Yes,,80,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,Yes,314.23,No,16.85,Yes,,,,,,74.64,65.17,,15.95,17.5,,,,,,,16.85,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,Year Round,Year Round,0,Year Round,0,0,No,,,,,,
Warwick,Jan Ameen,357,300,300,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,82.11,No,36.92,Yes,,70,,,,30.89,35.58,,20.6,,,,,,,1.16,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,,No,,,,,,
WASHINGTON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watertown,Dennis Sheehan,13566,9976,9976,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,64,None,16,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,10,,,,,,,Yes,8676.11,Yes,0,Yes,104,66.19,2993.76,,93.82,,,,25.67,,,,,,1333.76,31.53,,Between 3 & 10,1 or 2,Once a Week,Once a Week,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,0,0,0,No,,,,,,
Wayland,Daniel Cabral,6000,1855,2022,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Both,Neither,Neither,,,Yes,Yes,Yes,,145,40,Yes,,,,,,,,,,,,,,,,,,,Yes,,,1059.46,Yes,0,No,,76,710.73,,,,,,73.96,25.89,,,,,,,,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,2,No,Yes,"- Textiles/Used Clothing are collected at schools in addition to Transfer Station.
- Yard Waste is collected and ground for mulch, which is used throughout town by the DPW and available for residents to take.
- Electronics and E-Waste are collected once a",,
Webster,Doug Willardson,6905,106,106,Drop-off,,,Drop-off,,Yes,,,None,,36,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,56.5,Yes,0,Yes,,,,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,,No,,,,,,
Wellesley,Jeff Azano-Brown,9189,9189,9189,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,5449,Yes,0,Yes,,,,246,303,681,438,28,292,159,351,,,10,888,51,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,,Yes,1,No,No,"Category for ""Mixed Construction and Demolition Waste"" is comprised of 11 tons of gypsum (recycled at $70/ton) and 353 tons of Asphalt/Brick/Concrete (crushed at $11/ton).
Cost per Ton for ""Yard Waste"" is grinding costs plus log disposal cost minus tippin",,
Wellfleet,Mark Vincent,3669,3309,3309,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,,,Yes,25,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,,Yes,Yes,Yes,Yes,778.49,No,456.77,Yes,,56.38,,121.75,121.75,50,233.09,20.45,156.71,5,,,,,1200,36.66,456.77,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,,,Yes,1,Yes,Yes,,,
Wendell,Jan Ameen,373,367,367,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,Yes,157.69,No,45.24,Yes,,70,,,,50.52,38.57,,,3.62,,,,1.78,,1.92,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,,No,,,,,,
Wenham,Bill Tyack,1409,1409,1409,Curbside,Yes,35,Curbside,Weekly,Yes,,,Curbside,6,2,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,Yes,1,35,Yes,Yes,No,,,,,,,,,Yes,Yes,Yes,,,,Yes,958.12,Yes,0,No,52,63.67,523.72,,,,,,,4.95,,,,146.37,,,,0,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,,No,,,,,,
West Boylston,Butch Jackson,2924,2458,2458,Curbside,,,Curbside,Weekly,Yes,,,None,,10,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,1367.67,No,0,Yes,,66.73,679.48,,7,1.7,,3.2,19.49,0.57,,5.09,,,,11.74,1.7,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,0,,Yes,6,Yes,No,,,
West Bridgewater,Sue Kent,2689,1876,1876,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,,,85,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,2022.12,No,0,,,56.38,321.78,,,84.58,,,128.44,1.1,,,,,,16.5,13.18,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,,0,No,,,,,,
WEST BROOKFIELD,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Newbury,Jane Krafton,1470,1408,1408,Curbside,,,Both,Bi-weekly,Yes,,,None,,4,Trash,Neither,Trash,Neither,Yes,,,,,,,,,Yes,2,32,Yes,Yes,No,Yes,Yes,,Yes,Yes,,No,,,,,,,,,1335.89,Yes,0,No,52,67,456.75,,,97.2,,,56.55,0.81,,,,,,,,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,0,,No,,,,,,
West Springfield,Robert J. Colson,12500,8860,8860,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,8,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,,,Yes,Yes,Yes,19,Yes,Yes,,,,,Yes,7063.85,No,302.38,No,15,60,2073.7,,,13.61,3.25,5.87,136.13,0.78,519.58,15.02,,4.66,276.47,97.14,45.98,Year Round,1 or 2,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,1,No,Yes,"Our Yard Waste Tonnage of 272.38 tons does not account for the tonnage dropped off by residents or picked up at the curb by our hauler in the spring and fall.  

Thank You MassDEP for all your hard work and help that you provide to all the Cities and Town",,
WEST STOCKBRIDGE,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Tisbury,Donald Hatch,1786,800,800,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,307,No,0,,,160,213,,,,,,3,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,0,Yes,4,Yes,No,,,
